year,spp,major,region,nation,catch,units
1962,628,7,5C,US,6000,lbs
1963,628,7,5C,US,74000,lbs
1964,628,7,5C,US,5000,lbs
1965,628,7,5C,US,2000,lbs
1966,628,7,5C,US,1000,lbs
1967,628,7,5C,US,16000,lbs
1968,628,7,5C,US,1000,lbs
1969,628,7,5C,US,4000,lbs
1970,628,7,5C,US,4000,lbs
1950,628,8,5D,CA,4727000,lbs
1951,628,8,5D,CA,1334000,lbs
1952,628,8,5D,CA,1449000,lbs
1953,628,8,5D,CA,1694000,lbs
1954,628,8,5D,CA,660000,lbs
1955,628,8,5D,CA,981000,lbs
1956,628,8,5D,CA,1488000,lbs
1957,628,8,5D,CA,551000,lbs
1958,628,8,5D,CA,890000,lbs
1959,628,8,5D,CA,1201000,lbs
1960,628,8,5D,CA,1555000,lbs
1961,628,8,5D,CA,1592000,lbs
1962,628,8,5D,CA,885000,lbs
1963,628,8,5D,CA,692000,lbs
1964,628,8,5D,CA,766000,lbs
1965,628,8,5D,CA,751000,lbs
1966,628,8,5D,CA,725000,lbs
1967,628,8,5D,CA,987000,lbs
1968,628,8,5D,CA,1386000,lbs
1969,628,8,5D,CA,1577000,lbs
1970,628,8,5D,CA,2018000,lbs
1971,628,8,5D,CA,1055000,lbs
1972,628,8,5D,CA,778000,lbs
1973,628,8,5D,CA,1239000,lbs
1974,628,8,5D,CA,1009000,lbs
1975,628,8,5D,CA,2035000,lbs
1950,628,8,5D,US,1016000,lbs
1951,628,8,5D,US,853000,lbs
1952,628,8,5D,US,1483000,lbs
1953,628,8,5D,US,549000,lbs
1954,628,8,5D,US,696000,lbs
1955,628,8,5D,US,922000,lbs
1956,628,8,5D,US,500000,lbs
1957,628,8,5D,US,625000,lbs
1958,628,8,5D,US,526000,lbs
1959,628,8,5D,US,785000,lbs
1960,628,8,5D,US,824000,lbs
1961,628,8,5D,US,315000,lbs
1962,628,8,5D,US,77000,lbs
1963,628,8,5D,US,121000,lbs
1964,628,8,5D,US,159000,lbs
1965,628,8,5D,US,110000,lbs
1966,628,8,5D,US,20000,lbs
1967,628,8,5D,US,102000,lbs
1968,628,8,5D,US,8000,lbs
1969,628,8,5D,US,6000,lbs
1970,628,8,5D,US,7000,lbs
1973,628,8,5D,US,72000,lbs
1963,607,2,3B,CA,1000,lbs
1964,607,2,3B,CA,2000,lbs
1967,607,2,3B,CA,1000,lbs
1968,607,2,3B,CA,1000,lbs
1970,607,2,3B,CA,2000,lbs
1972,607,2,3B,CA,20000,lbs
1950,607,2,3B,US,257000,lbs
1951,607,2,3B,US,430000,lbs
1952,607,2,3B,US,483000,lbs
1953,607,2,3B,US,225000,lbs
1954,607,2,3B,US,409000,lbs
1955,607,2,3B,US,377000,lbs
1956,607,2,3B,US,257000,lbs
1957,607,2,3B,US,238000,lbs
1958,607,2,3B,US,593000,lbs
1959,607,2,3B,US,272000,lbs
1960,607,2,3B,US,379000,lbs
1961,607,2,3B,US,714000,lbs
1962,607,2,3B,US,361000,lbs
1963,607,2,3B,US,407000,lbs
1964,607,2,3B,US,432000,lbs
1965,607,2,3B,US,266000,lbs
1966,607,2,3B,US,301000,lbs
1967,607,2,3B,US,228000,lbs
1968,607,2,3B,US,265000,lbs
1969,607,2,3B,US,202000,lbs
1970,607,2,3B,US,250000,lbs
1971,607,2,3B,US,344000,lbs
1972,607,2,3B,US,872000,lbs
1973,607,2,3B,US,780000,lbs
1974,607,2,3B,US,1118000,lbs
1975,607,2,3B,US,1033000,lbs
1950,607,3,3C,CA,1084000,lbs
1951,607,3,3C,CA,646000,lbs
1952,607,3,3C,CA,1165000,lbs
1953,607,3,3C,CA,838000,lbs
1954,607,3,3C,CA,667000,lbs
1955,607,3,3C,CA,379000,lbs
1956,607,3,3C,CA,416000,lbs
1957,607,3,3C,CA,522000,lbs
1958,607,3,3C,CA,410000,lbs
1959,607,3,3C,CA,408000,lbs
1960,607,3,3C,CA,428000,lbs
1961,607,3,3C,CA,453000,lbs
1962,607,3,3C,CA,326000,lbs
1963,607,3,3C,CA,166000,lbs
1964,607,3,3C,CA,377000,lbs
1965,607,3,3C,CA,402000,lbs
1966,607,3,3C,CA,261000,lbs
1967,607,3,3C,CA,265000,lbs
1968,607,3,3C,CA,250000,lbs
1969,607,3,3C,CA,122000,lbs
1970,607,3,3C,CA,316000,lbs
1971,607,3,3C,CA,849000,lbs
1972,607,3,3C,CA,1022000,lbs
1973,607,3,3C,CA,868000,lbs
1974,607,3,3C,CA,1288000,lbs
1975,607,3,3C,CA,702000,lbs
1950,607,3,3C,US,798000,lbs
1951,607,3,3C,US,1105000,lbs
1952,607,3,3C,US,924000,lbs
1953,607,3,3C,US,810000,lbs
1954,607,3,3C,US,1845000,lbs
1955,607,3,3C,US,576000,lbs
1956,607,3,3C,US,813000,lbs
1957,607,3,3C,US,922000,lbs
1958,607,3,3C,US,750000,lbs
1959,607,3,3C,US,1956000,lbs
1960,607,3,3C,US,1718000,lbs
1961,607,3,3C,US,1992000,lbs
1962,607,3,3C,US,1549000,lbs
1963,607,3,3C,US,1477000,lbs
1964,607,3,3C,US,945000,lbs
1965,607,3,3C,US,1343000,lbs
1966,607,3,3C,US,1119000,lbs
1967,607,3,3C,US,532000,lbs
1968,607,3,3C,US,513000,lbs
1969,607,3,3C,US,752000,lbs
1970,607,3,3C,US,285000,lbs
1971,607,3,3C,US,456000,lbs
1972,607,3,3C,US,693000,lbs
1973,607,3,3C,US,593000,lbs
1974,607,3,3C,US,707000,lbs
1975,607,3,3C,US,1367000,lbs
1950,607,4,3D,CA,325000,lbs
1951,607,4,3D,CA,178000,lbs
1952,607,4,3D,CA,192000,lbs
1953,607,4,3D,CA,29000,lbs
1954,607,4,3D,CA,127000,lbs
1955,607,4,3D,CA,193000,lbs
1956,607,4,3D,CA,33000,lbs
1957,607,4,3D,CA,13000,lbs
1958,607,4,3D,CA,32000,lbs
1959,607,4,3D,CA,13000,lbs
1960,607,4,3D,CA,29000,lbs
1961,607,4,3D,CA,21000,lbs
1962,607,4,3D,CA,55000,lbs
1963,607,4,3D,CA,20000,lbs
1964,607,4,3D,CA,95000,lbs
1965,607,4,3D,CA,146000,lbs
1966,607,4,3D,CA,122000,lbs
1967,607,4,3D,CA,148000,lbs
1968,607,4,3D,CA,78000,lbs
1969,607,4,3D,CA,114000,lbs
1970,607,4,3D,CA,68000,lbs
1971,607,4,3D,CA,66000,lbs
1972,607,4,3D,CA,31000,lbs
1973,607,4,3D,CA,19000,lbs
1974,607,4,3D,CA,12000,lbs
1975,607,4,3D,CA,35000,lbs
1950,607,4,3D,US,1204000,lbs
1951,607,4,3D,US,494000,lbs
1952,607,4,3D,US,393000,lbs
1953,607,4,3D,US,490000,lbs
1954,607,4,3D,US,295000,lbs
1955,607,4,3D,US,859000,lbs
1956,607,4,3D,US,681000,lbs
1957,607,4,3D,US,3223000,lbs
1958,607,4,3D,US,331000,lbs
1959,607,4,3D,US,338000,lbs
1960,607,4,3D,US,193000,lbs
1961,607,4,3D,US,589000,lbs
1962,607,4,3D,US,596000,lbs
1963,607,4,3D,US,425000,lbs
1964,607,4,3D,US,308000,lbs
1965,607,4,3D,US,516000,lbs
1966,607,4,3D,US,460000,lbs
1967,607,4,3D,US,225000,lbs
1968,607,4,3D,US,567000,lbs
1969,607,4,3D,US,464000,lbs
1970,607,4,3D,US,231000,lbs
1971,607,4,3D,US,215000,lbs
1972,607,4,3D,US,79000,lbs
1973,607,4,3D,US,416000,lbs
1974,607,4,3D,US,419000,lbs
1975,607,4,3D,US,480000,lbs
1950,607,68,4A,US,708000,lbs
1951,607,68,4A,US,4000,lbs
1952,607,68,4A,US,5000,lbs
1953,607,68,4A,US,3000,lbs
1954,607,68,4A,US,1000,lbs
1955,607,68,4A,US,2000,lbs
1956,607,68,4A,US,9000,lbs
1957,607,68,4A,US,2000,lbs
1958,607,68,4A,US,1000,lbs
1960,607,68,4A,US,1000,lbs
1961,607,68,4A,US,3000,lbs
1962,607,68,4A,US,6000,lbs
1963,607,68,4A,US,6000,lbs
1965,607,68,4A,US,3000,lbs
1966,607,68,4A,US,8000,lbs
1967,607,68,4A,US,1000,lbs
1968,607,68,4A,US,3000,lbs
1969,607,68,4A,US,2000,lbs
1970,607,68,4A,US,1000,lbs
1971,607,68,4A,US,3000,lbs
1972,607,68,4A,US,3000,lbs
1974,607,68,4A,US,1000,lbs
1975,607,68,4A,US,1000,lbs
1950,607,1,4B,CA,4000,lbs
1951,607,1,4B,CA,5000,lbs
1952,607,1,4B,CA,114000,lbs
1953,607,1,4B,CA,9000,lbs
1954,607,1,4B,CA,11000,lbs
1955,607,1,4B,CA,5000,lbs
1956,607,1,4B,CA,6000,lbs
1957,607,1,4B,CA,10000,lbs
1958,607,1,4B,CA,26000,lbs
1959,607,1,4B,CA,39000,lbs
1960,607,1,4B,CA,35000,lbs
1961,607,1,4B,CA,12000,lbs
1962,607,1,4B,CA,17000,lbs
1963,607,1,4B,CA,11000,lbs
1964,607,1,4B,CA,9000,lbs
1965,607,1,4B,CA,40000,lbs
1966,607,1,4B,CA,4000,lbs
1967,607,1,4B,CA,9000,lbs
1968,607,1,4B,CA,1000,lbs
1969,607,1,4B,CA,4000,lbs
1970,607,1,4B,CA,4000,lbs
1971,607,1,4B,CA,2000,lbs
1972,607,1,4B,CA,1000,lbs
1973,607,1,4B,CA,2000,lbs
1974,607,1,4B,CA,3000,lbs
1975,607,1,4B,CA,12000,lbs
1950,607,5,5A,CA,130000,lbs
1951,607,5,5A,CA,123000,lbs
1952,607,5,5A,CA,84000,lbs
1953,607,5,5A,CA,42000,lbs
1954,607,5,5A,CA,33000,lbs
1955,607,5,5A,CA,17000,lbs
1956,607,5,5A,CA,51000,lbs
1957,607,5,5A,CA,147000,lbs
1958,607,5,5A,CA,53000,lbs
1959,607,5,5A,CA,44000,lbs
1960,607,5,5A,CA,111000,lbs
1961,607,5,5A,CA,128000,lbs
1962,607,5,5A,CA,166000,lbs
1963,607,5,5A,CA,150000,lbs
1964,607,5,5A,CA,245000,lbs
1965,607,5,5A,CA,130000,lbs
1966,607,5,5A,CA,170000,lbs
1967,607,5,5A,CA,167000,lbs
1968,607,5,5A,CA,137000,lbs
1969,607,5,5A,CA,42000,lbs
1970,607,5,5A,CA,23000,lbs
1971,607,5,5A,CA,66000,lbs
1972,607,5,5A,CA,54000,lbs
1973,607,5,5A,CA,83000,lbs
1974,607,5,5A,CA,108000,lbs
1975,607,5,5A,CA,68000,lbs
1950,607,5,5A,US,708000,lbs
1951,607,5,5A,US,391000,lbs
1952,607,5,5A,US,397000,lbs
1953,607,5,5A,US,420000,lbs
1954,607,5,5A,US,239000,lbs
1955,607,5,5A,US,814000,lbs
1956,607,5,5A,US,944000,lbs
1957,607,5,5A,US,367000,lbs
1958,607,5,5A,US,249000,lbs
1959,607,5,5A,US,188000,lbs
1960,607,5,5A,US,156000,lbs
1961,607,5,5A,US,106000,lbs
1962,607,5,5A,US,275000,lbs
1963,607,5,5A,US,255000,lbs
1964,607,5,5A,US,185000,lbs
1965,607,5,5A,US,394000,lbs
1966,607,5,5A,US,385000,lbs
1967,607,5,5A,US,453000,lbs
1968,607,5,5A,US,235000,lbs
1969,607,5,5A,US,104000,lbs
1970,607,5,5A,US,54000,lbs
1971,607,5,5A,US,76000,lbs
1972,607,5,5A,US,89000,lbs
1973,607,5,5A,US,250000,lbs
1974,607,5,5A,US,281000,lbs
1975,607,5,5A,US,64000,lbs
1950,607,6,5B,CA,156000,lbs
1951,607,6,5B,CA,106000,lbs
1952,607,6,5B,CA,92000,lbs
1953,607,6,5B,CA,65000,lbs
1954,607,6,5B,CA,36000,lbs
1955,607,6,5B,CA,15000,lbs
1956,607,6,5B,CA,44000,lbs
1957,607,6,5B,CA,49000,lbs
1958,607,6,5B,CA,103000,lbs
1959,607,6,5B,CA,85000,lbs
1960,607,6,5B,CA,140000,lbs
1961,607,6,5B,CA,96000,lbs
1962,607,6,5B,CA,183000,lbs
1963,607,6,5B,CA,432000,lbs
1964,607,6,5B,CA,183000,lbs
1965,607,6,5B,CA,137000,lbs
1966,607,6,5B,CA,174000,lbs
1967,607,6,5B,CA,118000,lbs
1968,607,6,5B,CA,44000,lbs
1969,607,6,5B,CA,17000,lbs
1970,607,6,5B,CA,2000,lbs
1971,607,6,5B,CA,10000,lbs
1972,607,6,5B,CA,71000,lbs
1973,607,6,5B,CA,22000,lbs
1974,607,6,5B,CA,67000,lbs
1975,607,6,5B,CA,98000,lbs
1950,607,6,5B,US,260000,lbs
1951,607,6,5B,US,98000,lbs
1952,607,6,5B,US,100000,lbs
1953,607,6,5B,US,65000,lbs
1954,607,6,5B,US,182000,lbs
1955,607,6,5B,US,173000,lbs
1956,607,6,5B,US,78000,lbs
1957,607,6,5B,US,65000,lbs
1958,607,6,5B,US,100000,lbs
1959,607,6,5B,US,35000,lbs
1960,607,6,5B,US,63000,lbs
1961,607,6,5B,US,47000,lbs
1962,607,6,5B,US,131000,lbs
1963,607,6,5B,US,347000,lbs
1964,607,6,5B,US,315000,lbs
1965,607,6,5B,US,260000,lbs
1966,607,6,5B,US,304000,lbs
1967,607,6,5B,US,332000,lbs
1968,607,6,5B,US,170000,lbs
1969,607,6,5B,US,88000,lbs
1970,607,6,5B,US,45000,lbs
1971,607,6,5B,US,62000,lbs
1972,607,6,5B,US,125000,lbs
1973,607,6,5B,US,111000,lbs
1974,607,6,5B,US,168000,lbs
1975,607,6,5B,US,113000,lbs
1950,607,7,5C,CA,23000,lbs
1951,607,7,5C,CA,223000,lbs
1952,607,7,5C,CA,28000,lbs
1954,607,7,5C,CA,2000,lbs
1955,607,7,5C,CA,18000,lbs
1956,607,7,5C,CA,65000,lbs
1957,607,7,5C,CA,106000,lbs
1958,607,7,5C,CA,45000,lbs
1959,607,7,5C,CA,76000,lbs
1960,607,7,5C,CA,123000,lbs
1961,607,7,5C,CA,7000,lbs
1962,607,7,5C,CA,25000,lbs
1963,607,7,5C,CA,17000,lbs
1964,607,7,5C,CA,80000,lbs
1965,607,7,5C,CA,200000,lbs
1966,607,7,5C,CA,391000,lbs
1967,607,7,5C,CA,241000,lbs
1968,607,7,5C,CA,244000,lbs
1969,607,7,5C,CA,26000,lbs
1970,607,7,5C,CA,15000,lbs
1971,607,7,5C,CA,54000,lbs
1972,607,7,5C,CA,24000,lbs
1973,607,7,5C,CA,21000,lbs
1974,607,7,5C,CA,9000,lbs
1975,607,7,5C,CA,25000,lbs
1950,607,7,5C,US,598000,lbs
1951,607,7,5C,US,441000,lbs
1952,607,7,5C,US,542000,lbs
1953,607,7,5C,US,217000,lbs
1954,607,7,5C,US,326000,lbs
1955,607,7,5C,US,77000,lbs
1956,607,7,5C,US,25000,lbs
1957,607,7,5C,US,88000,lbs
1958,607,7,5C,US,44000,lbs
1959,607,7,5C,US,62000,lbs
1960,607,7,5C,US,3000,lbs
1961,607,7,5C,US,1000,lbs
1963,607,7,5C,US,19000,lbs
1964,607,7,5C,US,9000,lbs
1965,607,7,5C,US,9000,lbs
1966,607,7,5C,US,2000,lbs
1967,607,7,5C,US,54000,lbs
1950,607,8,5D,CA,324000,lbs
1951,607,8,5D,CA,310000,lbs
1952,607,8,5D,CA,153000,lbs
1953,607,8,5D,CA,67000,lbs
1954,607,8,5D,CA,12000,lbs
1955,607,8,5D,CA,27000,lbs
1956,607,8,5D,CA,4000,lbs
1957,607,8,5D,CA,212000,lbs
1958,607,8,5D,CA,254000,lbs
1959,607,8,5D,CA,175000,lbs
1960,607,8,5D,CA,122000,lbs
1961,607,8,5D,CA,206000,lbs
1962,607,8,5D,CA,334000,lbs
1963,607,8,5D,CA,138000,lbs
1964,607,8,5D,CA,234000,lbs
1965,607,8,5D,CA,233000,lbs
1966,607,8,5D,CA,181000,lbs
1967,607,8,5D,CA,92000,lbs
1968,607,8,5D,CA,59000,lbs
1969,607,8,5D,CA,23000,lbs
1970,607,8,5D,CA,33000,lbs
1971,607,8,5D,CA,68000,lbs
1972,607,8,5D,CA,49000,lbs
1973,607,8,5D,CA,29000,lbs
1974,607,8,5D,CA,22000,lbs
1975,607,8,5D,CA,36000,lbs
1950,607,8,5D,US,599000,lbs
1951,607,8,5D,US,441000,lbs
1952,607,8,5D,US,543000,lbs
1953,607,8,5D,US,218000,lbs
1954,607,8,5D,US,314000,lbs
1955,607,8,5D,US,86000,lbs
1956,607,8,5D,US,20000,lbs
1957,607,8,5D,US,71000,lbs
1958,607,8,5D,US,69000,lbs
1959,607,8,5D,US,164000,lbs
1960,607,8,5D,US,17000,lbs
1961,607,8,5D,US,10000,lbs
1962,607,8,5D,US,1000,lbs
1963,607,8,5D,US,7000,lbs
1964,607,8,5D,US,37000,lbs
1965,607,8,5D,US,3000,lbs
1967,607,8,5D,US,1000,lbs
1973,607,8,5D,US,3000,lbs
1962,626,2,3B,CA,2000,lbs
1963,626,2,3B,CA,2000,lbs
1964,626,2,3B,CA,5000,lbs
1970,626,2,3B,CA,132000,lbs
1971,626,2,3B,CA,125000,lbs
1972,626,2,3B,CA,1000,lbs
1950,626,2,3B,US,1413000,lbs
1951,626,2,3B,US,1477000,lbs
1952,626,2,3B,US,1610000,lbs
1953,626,2,3B,US,1134000,lbs
1954,626,2,3B,US,1298000,lbs
1955,626,2,3B,US,2052000,lbs
1956,626,2,3B,US,1728000,lbs
1957,626,2,3B,US,738000,lbs
1958,626,2,3B,US,903000,lbs
1959,626,2,3B,US,1059000,lbs
1960,626,2,3B,US,1714000,lbs
1961,626,2,3B,US,1171000,lbs
1962,626,2,3B,US,721000,lbs
1963,626,2,3B,US,1313000,lbs
1964,626,2,3B,US,442000,lbs
1965,626,2,3B,US,264000,lbs
1966,626,2,3B,US,352000,lbs
1967,626,2,3B,US,241000,lbs
1968,626,2,3B,US,657000,lbs
1969,626,2,3B,US,623000,lbs
1970,626,2,3B,US,817000,lbs
1971,626,2,3B,US,671000,lbs
1972,626,2,3B,US,515000,lbs
1973,626,2,3B,US,611000,lbs
1974,626,2,3B,US,290000,lbs
1975,626,2,3B,US,430000,lbs
1950,626,3,3C,CA,6000,lbs
1951,626,3,3C,CA,6000,lbs
1952,626,3,3C,CA,237000,lbs
1953,626,3,3C,CA,185000,lbs
1954,626,3,3C,CA,51000,lbs
1955,626,3,3C,CA,176000,lbs
1956,626,3,3C,CA,60000,lbs
1957,626,3,3C,CA,77000,lbs
1958,626,3,3C,CA,48000,lbs
1959,626,3,3C,CA,9000,lbs
1960,626,3,3C,CA,5000,lbs
1961,626,3,3C,CA,40000,lbs
1962,626,3,3C,CA,16000,lbs
1963,626,3,3C,CA,63000,lbs
1964,626,3,3C,CA,17000,lbs
1965,626,3,3C,CA,19000,lbs
1966,626,3,3C,CA,8000,lbs
1967,626,3,3C,CA,15000,lbs
1968,626,3,3C,CA,2000,lbs
1969,626,3,3C,CA,80000,lbs
1970,626,3,3C,CA,298000,lbs
1971,626,3,3C,CA,397000,lbs
1972,626,3,3C,CA,9000,lbs
1973,626,3,3C,CA,17000,lbs
1974,626,3,3C,CA,27000,lbs
1975,626,3,3C,CA,32000,lbs
1950,626,3,3C,US,541000,lbs
1951,626,3,3C,US,566000,lbs
1952,626,3,3C,US,617000,lbs
1953,626,3,3C,US,434000,lbs
1954,626,3,3C,US,295000,lbs
1955,626,3,3C,US,981000,lbs
1956,626,3,3C,US,1321000,lbs
1957,626,3,3C,US,542000,lbs
1958,626,3,3C,US,607000,lbs
1959,626,3,3C,US,637000,lbs
1960,626,3,3C,US,1153000,lbs
1961,626,3,3C,US,704000,lbs
1962,626,3,3C,US,1157000,lbs
1963,626,3,3C,US,586000,lbs
1964,626,3,3C,US,314000,lbs
1965,626,3,3C,US,317000,lbs
1966,626,3,3C,US,199000,lbs
1967,626,3,3C,US,102000,lbs
1968,626,3,3C,US,261000,lbs
1969,626,3,3C,US,372000,lbs
1970,626,3,3C,US,266000,lbs
1971,626,3,3C,US,311000,lbs
1972,626,3,3C,US,264000,lbs
1973,626,3,3C,US,133000,lbs
1974,626,3,3C,US,266000,lbs
1975,626,3,3C,US,277000,lbs
1951,626,4,3D,CA,6000,lbs
1958,626,4,3D,CA,2000,lbs
1961,626,4,3D,CA,1000,lbs
1964,626,4,3D,CA,7000,lbs
1965,626,4,3D,CA,12000,lbs
1966,626,4,3D,CA,2000,lbs
1967,626,4,3D,CA,3000,lbs
1968,626,4,3D,CA,4000,lbs
1969,626,4,3D,CA,5000,lbs
1970,626,4,3D,CA,126000,lbs
1971,626,4,3D,CA,59000,lbs
1972,626,4,3D,CA,15000,lbs
1974,626,4,3D,CA,17000,lbs
1975,626,4,3D,CA,1000,lbs
1950,626,4,3D,US,22000,lbs
1951,626,4,3D,US,23000,lbs
1952,626,4,3D,US,25000,lbs
1953,626,4,3D,US,18000,lbs
1954,626,4,3D,US,16000,lbs
1955,626,4,3D,US,36000,lbs
1956,626,4,3D,US,27000,lbs
1957,626,4,3D,US,61000,lbs
1958,626,4,3D,US,64000,lbs
1959,626,4,3D,US,184000,lbs
1960,626,4,3D,US,101000,lbs
1961,626,4,3D,US,528000,lbs
1962,626,4,3D,US,830000,lbs
1963,626,4,3D,US,323000,lbs
1964,626,4,3D,US,289000,lbs
1965,626,4,3D,US,276000,lbs
1966,626,4,3D,US,148000,lbs
1967,626,4,3D,US,137000,lbs
1968,626,4,3D,US,70000,lbs
1969,626,4,3D,US,171000,lbs
1970,626,4,3D,US,669000,lbs
1971,626,4,3D,US,144000,lbs
1972,626,4,3D,US,69000,lbs
1973,626,4,3D,US,122000,lbs
1974,626,4,3D,US,108000,lbs
1975,626,4,3D,US,110000,lbs
1950,626,68,4A,US,6000,lbs
1951,626,68,4A,US,57000,lbs
1952,626,68,4A,US,62000,lbs
1953,626,68,4A,US,44000,lbs
1954,626,68,4A,US,55000,lbs
1955,626,68,4A,US,54000,lbs
1956,626,68,4A,US,93000,lbs
1957,626,68,4A,US,68000,lbs
1958,626,68,4A,US,76000,lbs
1959,626,68,4A,US,22000,lbs
1960,626,68,4A,US,5000,lbs
1961,626,68,4A,US,13000,lbs
1962,626,68,4A,US,18000,lbs
1963,626,68,4A,US,13000,lbs
1965,626,68,4A,US,13000,lbs
1966,626,68,4A,US,27000,lbs
1967,626,68,4A,US,26000,lbs
1968,626,68,4A,US,38000,lbs
1969,626,68,4A,US,24000,lbs
1970,626,68,4A,US,49000,lbs
1971,626,68,4A,US,44000,lbs
1972,626,68,4A,US,34000,lbs
1973,626,68,4A,US,127000,lbs
1974,626,68,4A,US,104000,lbs
1975,626,68,4A,US,121000,lbs
1950,626,1,4B,CA,330000,lbs
1951,626,1,4B,CA,558000,lbs
1952,626,1,4B,CA,277000,lbs
1953,626,1,4B,CA,53000,lbs
1954,626,1,4B,CA,78000,lbs
1955,626,1,4B,CA,118000,lbs
1956,626,1,4B,CA,102000,lbs
1957,626,1,4B,CA,171000,lbs
1958,626,1,4B,CA,122000,lbs
1959,626,1,4B,CA,149000,lbs
1960,626,1,4B,CA,111000,lbs
1961,626,1,4B,CA,114000,lbs
1962,626,1,4B,CA,278000,lbs
1963,626,1,4B,CA,272000,lbs
1964,626,1,4B,CA,271000,lbs
1965,626,1,4B,CA,230000,lbs
1966,626,1,4B,CA,256000,lbs
1967,626,1,4B,CA,121000,lbs
1968,626,1,4B,CA,82000,lbs
1969,626,1,4B,CA,122000,lbs
1970,626,1,4B,CA,142000,lbs
1971,626,1,4B,CA,180000,lbs
1972,626,1,4B,CA,208000,lbs
1973,626,1,4B,CA,16000,lbs
1974,626,1,4B,CA,9000,lbs
1975,626,1,4B,CA,74000,lbs
1952,626,5,5A,CA,1000,lbs
1953,626,5,5A,CA,6000,lbs
1957,626,5,5A,CA,3000,lbs
1961,626,5,5A,CA,8000,lbs
1962,626,5,5A,CA,1000,lbs
1963,626,5,5A,CA,3000,lbs
1964,626,5,5A,CA,9000,lbs
1965,626,5,5A,CA,28000,lbs
1966,626,5,5A,CA,40000,lbs
1967,626,5,5A,CA,27000,lbs
1968,626,5,5A,CA,35000,lbs
1969,626,5,5A,CA,26000,lbs
1970,626,5,5A,CA,99000,lbs
1971,626,5,5A,CA,63000,lbs
1972,626,5,5A,CA,39000,lbs
1973,626,5,5A,CA,30000,lbs
1974,626,5,5A,CA,9000,lbs
1975,626,5,5A,CA,3000,lbs
1950,626,5,5A,US,6000,lbs
1951,626,5,5A,US,6000,lbs
1952,626,5,5A,US,7000,lbs
1953,626,5,5A,US,5000,lbs
1954,626,5,5A,US,11000,lbs
1955,626,5,5A,US,2000,lbs
1956,626,5,5A,US,141000,lbs
1957,626,5,5A,US,96000,lbs
1958,626,5,5A,US,30000,lbs
1959,626,5,5A,US,112000,lbs
1960,626,5,5A,US,183000,lbs
1961,626,5,5A,US,82000,lbs
1962,626,5,5A,US,84000,lbs
1963,626,5,5A,US,60000,lbs
1964,626,5,5A,US,117000,lbs
1965,626,5,5A,US,95000,lbs
1966,626,5,5A,US,117000,lbs
1967,626,5,5A,US,88000,lbs
